Marie Cave;Calpheon;1;1;Ghost Mushroom;;;
Marie Cave;Calpheon;1;1;Pine Timber;Pine Sap;;
Mariveno Island 1;Sea Central;1;1;Dried Striped Catfish;Dried Siganid;Dried Bluefish;Dried Clownfish
Mariveno Island 2;Sea Central;1;1;Dried Skipjack;dried Filefish;Dried Striped Catfish;Dried Siganid
Marni's 2nd Lab;Mediah;2;2;Silk Honey Grass;;;
Mediah Northern Highlands 1;Mediah;2;3;Maple Timber;Maple Sap;Old Tree Bark;
Mediah Northern Highlands 2;Mediah;2;3;White Cedar Timber;White Cedar Sap;Old Tree Bark;
Mediah Shore;Mediah;1;3;Copper Ore;Powder of Flame;Rough Opal;
Modric Island;Sea - West;1;1;Dried Saurel;Dried Cero;Dried Surfperch;Dried Bigeye
Moretti Plantation 1;Serendia;1;1;Flax;Flax Thread;;
Moretti Plantation 2;Serendia;1;1;Wheat;;;
Nada Island 1;Sea Margoria;3;2;Oyster;Dried Sea Bass;Dried Swordfish;Dried Flying Fish
Nada Island 2;Sea Margoria;3;2;Shrimp;Dried Sea Bass;Dried Swordfish;Dried Flying Fish
Northern Cienaga;Serendia;1;1;Dwarf Mushroom;;;
Northern Heidel Quarry 1;Serendia;1;1;Copper Ore;Powder of Flame;;
Northern Heidel Quarry 2;Serendia;1;1;Iron Ore;Powder of Darkness;;
Northern Plain of Serendia 1;Serendia;1;1;Maple Timber;Red Tree Lump;;
Northern Plain of Serendia 2;Serendia;1;1;Silver Azalea;;;
Northern Sand Dune;Valencia;1;2;Cactus Rind;Cactus Thorn;Cactus Sap;
Northern Wheat Plantation 1;Calpheon;2;1;Barley;;;
Northern Wheat Plantation 2;Calpheon;2;1;Paprika;;;
Northern Wheat Plantation 3;Calpheon;2;1;Wheat;;;
Oben Island 1;Sea - West;1;1;Dried Swellfish;Dried Mullet;Dried Surfperch;Dried Pintado
Oben Island 2;Sea - West;1;1;Dried Swellfish;Dried Saurel;Dried Flying Fish;Dried Bigeye
Old Dandelion;Calpheon;1;1;Birch Timber;Red Tree Lump;;
Omar Lava Cave 1;Mediah;2;3;Coal;Powder of Crevice;Rough Ruby;
Omar Lava Cave 2;Mediah;2;3;Zinc Ore;Powder of Time;Platinum Ore;
Orffs Island;Sea Island;1;1;Dried Saurel;Dried Grunt;Dried Dolphinfish;Dried Striped Catfish
Oze Pass;Calpheon;1;1;Cedar Timber;Monk's Branch;;
Phoniel's Cabin;Calpheon;2;1;Fir Timber;Fir Sap;;
Pilava Island 1;Sea Central;1;1;Dried Flatfish;Dried Grunt;Dried Whiting;Dried Blue Tang
Pilava Island 2;Sea Central;1;1;Dried Rockfish;Dried Round Herring;Dried Grouper;Dried Blue Tang
Pilgrim's Haven 1;Valencia;3;3;Cactus Rind;Cactus Sap;Cactus Thorn;
Pilgrim's Haven 2;Valencia;3;3;Iron Ore;Powder of Darkness;Rough Black Crystal;
Pilgrim's Sanctum;Valencia;3;1;Trace of Memory;;;
Polly's Forest;Kamasylvia;2;2;Blue Umbrella Mushroom;Pink Trumpet Mushroom;;
Primal Giant Post;Calpheon;1;1;Lead Ore;Powder of Crevice;;
Pujara Island 1;Sea Central;1;1;Dried Swordfish;Dried Skipjack;Dried Filefish;Dried Clownfish
Pujara Island 2;Sea Central;1;1;Dried Skipjack;Dried Dolphinfish;Dried Striped Catfish;Dried Golden-Thread
Pujiya Canyon;Valencia;3;3;Copper Ore;Powder of Flame;Rough Opal;
Quint Hill 1;Calpheon;1;1;Birch Timber;Red Tree Lump;;
Quint Hill 2;Calpheon;1;1;Lead Ore;Powder of Time;;
Randis Island 1;Sea - West;1;1;Dried Saurel;Dried Octopus;Dried Maomao;Dried Bigeye
Randis Island 2;Sea - West;1;1;Dried Scorpion Fish;Dried Pintado;Dried John Dory;Dried Bigeye
Rhua Tree Stub 1;Calpheon;1;1;Emperor Mushroom;;;
Rhua Tree Stub 2;Calpheon;1;1;Trace of Forest;Trace of Despair;;
Rhutum Outstation;Calpheon;1;1;Tin Ore;Rough Green Crystal;;
Roud Sulfur Works;Valencia;2;5;Sulfur;Rough Diamond;Powder of Crevice;
Serca Island;Sea - West;1;1;Dried Porgy;Dried Flying Fish;Dried Scorpion Fish;Dried Mullet
Serendia Shrine;Serendia;1;1;Pine Timber;Monk's Branch;;
Shady Tree Forest;Kamasylvia;1;3;Moss Tree Timber;Moss Tree Plank;Moss Tree Sap;
Shakatu Farmland 1;Valencia;3;3;Fig;;;
Shakatu Farmland 2;Valencia;3;3;Star Anise;;;
Shakatu Farmland 3;Valencia;3;3;Fig;;;
Sherekhan Necropolis;Drieghan;3;3;Trace of Memory;;;
Shuri Farm;Mediah;2;2;Sweet Potato;High-Quality Sweet Potato;Special Sweet Potato;
Southern Cienaga 1;Serendia;1;1;Cloud Mushroom;;;
Southern Cienaga 2;Serendia;1;1;Iron Ore;Rough Mud Crystal;;
Southern Kamasylvia;Kamasylvia;2;2;Noc Ore;Powder of Crevice;;
Star's End 1;Star's_End;3;1;Copper Ore;Melted Copper Shard;;
Star's End 2;Star's_End;3;1;Trace of Violence;Trace of Death;Mass of Pure Magic;
Staren Island 1;Sea Central;1;1;Dried Tuna;Dried Scorpion Fish;Dried Striped Catfish;Dried Checkerboard Wrasse
Staren Island 2;Sea Central;1;1;Dried Rockfish;Dried Filefish;Dried Dolphinfish;Dried Tapertail Anchovy
StoneTail Wasteland;Mediah;1;3;Acacia Timber;Acacia Sap;Bloody Tree Knot;
Taramura Island 1;Sea Central;1;1;Dried Flatfish;Dried Whiting;Dried Blue Tang;
Taramura Island 2;Sea Central;1;1;Dried Rockfish;Dried Round Herring;Dried Whiting;Dried Surfperch
Teyamal Island 1;Sea - West;1;1;Dried Saurel;Dried Octopus;Dried Cero;Dried Pintado
Teyamal Island 2;Sea - West;1;1;Dried Saurel;Dried Flying Fish;Dried Surfperch;Dried Gurnard
Thermian Cliff;Balenos;1;1;Copper Ore;;;
Titium Valley 1;Valencia;3;3;Palm Timber;Palm Plank;Palm Sap;
Titium Valley 2;Valencia;3;3;Pistachio;;;
Titium Valley 3;Valencia;3;3;Teff;;;
Tooth Fairy Forest;Kamasylvia;3;2;Vedelona;Trace of Forest;;
Toscani Farm 1;Balenos;2;1;Corn;;;
Toscani Farm 2;Balenos;2;1;Corn;;;
Treant Forest;Calpheon;1;1;Fir Timber;Bloody Tree Knot;;
Tshira Ruins 1;Drieghan;2;2;Bracken;;;
Tshira Ruins 2;Drieghan;2;2;Dry Mane Grass;;;
Valencia Plantation 1;Valencia;2;3;Date Palm;;;
Valencia Plantation 2;Valencia;2;3;Freekeh;;;
Valencia Plantation 3;Valencia;2;3;Pistachio;;;
Veteran's Canyon;Valencia;1;3;Elder Tree Timber;Elder Tree Plank;Elder Tree Sap;
Viv Forettas Cabin;Kamasylvia;2;1;Strawberry;High-Quality Strawberry;;
Wale Farm;Balenos;1;1;Olive;;;
Weenie Cabin;Kamasylvia;1;2;Volcanic Umbrella Mushroom;Green Pendulous Mushroom;;
Weita Island;Sea Central;1;1;Dried Nibbler;Dried Bluefish;Dried Surfperch;Dried Maomao
Wolf Hills;Balenos;1;1;Ash Timber;;;
